player,season,season_start,club,league,league_apps,league_goals,cup_apps,cup_goals,league_cup_apps,league_cup_goals,continental_apps,continental_goals,other_apps,other_goals,total_apps,total_goals,international_apps,international_goals,sb_passes_per90,sb_pass_pct,sb_tackles_per90,sb_shots_per90,sb_xg_per90,sb_goals_per90,sb_assists_per90,sb_matches,sb_minutes,age_group
Andres Iniesta,2000–01,2000,Barcelona B,Segunda División B,10,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,,Early Career
Andres Iniesta,2001–02,2001,Barcelona B,Segunda División B,25,2,0,0,0,0,0,0,5,0,30,2,0,0,,,,,,,,,,Early Career
Andres Iniesta,2002–03,2002,Barcelona B,Segunda División B,14,3,0,0,0,0,0,0,0,0,14,3,0,0,,,,,,,,,,Early Career
Andres Iniesta,2002–03,2002,Barcelona,La Liga,6,0,0,0,0,0,3,0,0,0,9,0,0,0,,,,,,,,,,Early Career
Andres Iniesta,2003–04,2003,Barcelona,La Liga,11,1,3,1,0,0,3,0,0,0,17,2,0,0,,,,,,,,,,Early Career
Andres Iniesta,2004–05,2004,Barcelona,La Liga,37,2,1,0,0,0,8,0,0,0,46,2,0,0,,,,,,,,,,Early Career
Andres Iniesta,2005–06,2005,Barcelona,La Liga,33,0,4,0,0,0,11,1,1,0,49,1,0,0,,,,,,,,,,Early Career
Andres Iniesta,2006–07,2006,Barcelona,La Liga,37,6,6,1,0,0,8,2,5,0,56,9,8,0,,,,,,,,,,Early Career
Andres Iniesta,2007–08,2007,Barcelona,La Liga,31,3,7,0,0,0,11,1,0,0,49,4,12,4,,,,,,,,,,Peak
Andres Iniesta,2008–09,2008,Barcelona,La Liga,26,4,6,0,0,0,11,1,0,0,43,5,14,1,57.24742268041237,85.7,2.134020618556701,1.7164948453608249,0.14752577319587631,0.09278350515463918,0.23195876288659795,23.0,1940.0,Peak
Andres Iniesta,2009–10,2009,Barcelona,La Liga,29,1,3,0,0,0,9,0,1,0,42,1,5,0,54.41509433962264,86.3,1.811320754716981,1.0566037735849056,0.10339622641509434,0.03773584905660377,0.18867924528301888,27.0,2385.0,Peak
Andres Iniesta,2010–11,2010,Barcelona,La Liga,34,8,5,0,0,0,10,1,1,0,50,9,15,3,83.33590435788662,88.1,2.151947551099113,1.2148091014269187,0.09649055148476667,0.24296182028538374,0.1041264944080216,30.0,2593.0,Peak
Andres Iniesta,2011–12,2011,Barcelona,La Liga,27,2,6,2,0,0,8,3,5,1,46,8,9,1,61.86225645672859,88.2,1.5496148618033527,1.7942908926144086,0.12396918894426824,0.04077933846850929,0.32623470774807434,26.0,2207.0,Peak
Andres Iniesta,2012–13,2012,Barcelona,La Liga,31,3,5,2,0,0,10,1,2,0,48,6,14,1,,,,,,,,,,Prime
Andres Iniesta,2013–14,2013,Barcelona,La Liga,35,3,6,0,0,0,9,0,2,0,52,3,17,0,,,,,,,,,,Prime
Andres Iniesta,2014–15,2014,Barcelona,La Liga,24,0,7,3,0,0,11,0,0,0,42,3,8,1,67.44186046511628,89.0,2.4651162790697674,1.1162790697674418,0.06186046511627907,0.0,0.046511627906976744,24.0,1935.0,Prime
Andres Iniesta,2015–16,2015,Barcelona,La Liga,28,1,4,0,0,0,7,0,5,0,44,1,5,1,,,,,,,,,,Prime
Andres Iniesta,2016–17,2016,Barcelona,La Liga,23,0,5,0,0,0,8,1,1,0,37,1,8,0,,,,,,,,,,Prime
Andres Iniesta,2017–18,2017,Barcelona,La Liga,30,1,5,1,0,0,8,0,1,0,44,2,8,1,,,,,,,,,,Veteran
Andres Iniesta,2018,2018,Vissel Kobe,J1 League,14,3,1,0,0,0,0,0,0,0,15,3,8,0,,,,,,,,,,Veteran
Andres Iniesta,2019,2019,Vissel Kobe,J1 League,23,6,2,1,0,0,0,0,0,0,25,7,0,0,,,,,,,,,,Veteran
Andres Iniesta,2020,2020,Vissel Kobe,J1 League,26,4,0,0,1,0,6,2,1,0,34,6,0,0,,,,,,,,,,Veteran
Andres Iniesta,2021,2021,Vissel Kobe,J1 League,23,6,0,0,4,1,0,0,0,0,27,7,0,0,,,,,,,,,,Veteran
Andres Iniesta,2022,2022,Vissel Kobe,J1 League,24,2,1,0,1,0,1,1,0,0,27,3,0,0,,,,,,,,,,Veteran
Andres Iniesta,2023,2023,Vissel Kobe,J1 League,4,0,0,0,2,0,0,0,0,0,6,0,0,0,,,,,,,,,,Veteran
Andres Iniesta,2023–24,2023,Emirates,UAE Pro League,20,5,1,0,2,0,0,0,0,0,23,5,0,0,,,,,,,,,,Veteran
Zinedine Zidane,1988–89,1988,Cannes,Division 1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1989–90,1989,Cannes,Division 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1990–91,1990,Cannes,Division 1,28,1,3,0,0,0,0,0,0,0,31,1,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1991–92,1991,Cannes,Division 1,31,5,3,0,0,0,4,0,0,0,38,5,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1992–93,1992,Bordeaux,Division 1,35,10,4,1,0,0,0,0,0,0,39,11,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1993–94,1993,Bordeaux,Division 1,34,6,3,0,0,0,6,2,0,0,43,8,0,0,,,,,,,,,,Early Career
Zinedine Zidane,1994–95,1994,Bordeaux,Division 1,37,6,5,1,0,0,4,1,0,0,46,8,2,2,,,,,,,,,,Early Career
Zinedine Zidane,1995–96,1995,Bordeaux,Division 1,33,6,3,0,0,0,15,6,0,0,51,12,6,2,,,,,,,,,,Peak
Zinedine Zidane,1996–97,1996,Juventus,Serie A,29,5,2,0,0,0,10,2,3,0,44,7,12,1,,,,,,,,,,Peak
Zinedine Zidane,1997–98,1997,Juventus,Serie A,32,7,5,1,0,0,11,3,1,0,49,11,8,1,,,,,,,,,,Peak
Zinedine Zidane,1998–99,1998,Juventus,Serie A,25,2,5,0,0,0,10,0,1,0,41,2,15,5,,,,,,,,,,Peak
Zinedine Zidane,1999–2000,1999,Juventus,Serie A,32,4,3,1,0,0,6,0,0,0,41,5,6,1,,,,,,,,,,Peak
Zinedine Zidane,2000–01,2000,Juventus,Serie A,33,6,2,0,0,0,4,0,0,0,39,6,13,4,,,,,,,,,,Prime
Zinedine Zidane,2001–02,2001,Real Madrid,La Liga,31,7,9,2,0,0,9,3,2,0,51,12,8,2,,,,,,,,,,Prime
Zinedine Zidane,2002–03,2002,Real Madrid,La Liga,33,9,1,0,0,0,14,3,2,0,50,12,9,1,,,,,,,,,,Prime
Zinedine Zidane,2003–04,2003,Real Madrid,La Liga,33,6,7,1,0,0,10,3,2,0,52,10,7,3,,,,,,,,,,Prime
Zinedine Zidane,2004–05,2004,Real Madrid,La Liga,29,6,1,0,0,0,10,0,0,0,40,6,7,4,,,,,,,,,,Prime
Zinedine Zidane,2005–06,2005,Real Madrid,La Liga,29,9,5,0,0,0,4,0,0,0,38,9,5,2,,,,,,,,,,Veteran
